i, i
107, -1
109, -1
106, -1
108, -1
105, -1
110, -1
102, -1
104, -1
103, -1
101, -1
113, -1
112, -1
114, -1
115, -1
121, -1
119, -1
117, -1
122, -1
118, -1
111, -1
120, -1
116, -1
131, -1
133, -1
136, -1
132, -1
126, -1
130, -1
140, -1
123, -1
128, -1
127, -1
138, -1
139, -1
124, -1
129, -1
125, -1
134, -1
137, -1
135, -1
148, -1
150, -1
146, -1
147, -1
153, -1
154, -1
144, -1
151, -1
143, -1
145, -1
149, -1
141, -1
152, -1
157, -1
155, -1
165, -1
164, -1
163, -1
156, -1
142, -1
158, -1
161, -1
159, -1
171, -1
170, -1
175, -1
167, -1
174, -1
168, -1
166, -1
172, -1
173, -1
169, -1
162, -1
176, -1
160, -1
187, -1
184, -1
191, -1
180, -1
189, -1
183, -1
179, -1
188, -1
178, -1
185, -1
182, -1
181, -1
177, -1
190, -1
196, -1
192, -1
186, -1
195, -1
194, -1
193, -1
198, -1
197, -1
201, -1
200, -1
199, -1
202, -1
3, -1
205, -1
209, -1
210, -1
207, -1
204, -1
211, -1
208, -1
206, -1
203, -1
221, -1
220, -1
213, -1
215, -1
214, -1
222, -1
219, -1
223, -1
216, -1
224, -1
218, -1
227, -1
226, -1
232, -1
236, -1
234, -1
235, -1
217, -1
212, -1
228, -1
230, -1
225, -1
233, -1
231, -1
231, 0
237, -1
229, -1
254, -1
238, -1
249, -1
240, -1
241, -1
243, -1
250, -1
248, -1
253, -1
257, -1
247, -1
244, -1
246, -1
252, -1
258, -1
239, -1
242, -1
259, -1
265, -1
260, -1
263, -1
262, -1
264, -1
261, -1
269, -1
251, -1
245, -1
266, -1
268, -1
274, -1
256, -1
278, -1
273, -1
255, -1
277, -1
290, -1
286, -1
267, -1
287, -1
284, -1
281, -1
283, -1
289, -1
285, -1
288, -1
271, -1
276, -1
293, -1
272, -1
270, -1
302, -1
301, -1
280, -1
282, -1
297, -1
294, -1
275, -1
299, -1
291, -1
300, -1
292, -1
298, -1
279, -1
310, -1
296, -1
307, -1
303, -1
305, -1
314, -1
316, -1
295, -1
308, -1
311, -1
309, -1
304, -1
312, -1
325, -1
329, -1
320, -1
319, -1
327, -1
306, -1
315, -1
326, -1
318, -1
321, -1
323, -1
322, -1
324, -1
313, -1
339, -1
338, -1
332, -1
337, -1
335, -1
336, -1
317, -1
328, -1
331, -1
340, -1
333, -1
334, -1
330, -1
354, -1
345, -1
358, -1
352, -1
343, -1
348, -1
346, -1
341, -1
350, -1
359, -1
357, -1
353, -1
342, -1
349, -1
347, -1
344, -1
351, -1
368, -1
363, -1
365, -1
360, -1
367, -1
355, -1
364, -1
366, -1
361, -1
371, -1
377, -1
373, -1
370, -1
378, -1
374, -1
372, -1
375, -1
356, -1
362, -1
376, -1
369, -1
